Date,Price
1/5/2019,"1,528.70"
30/04/2019,"1,526.90"
29/04/2019,"1,549.70"
26/04/2019,"1,577.40"
24/04/2019,"1,554.90"
23/04/2019,"1,531.60"
18/04/2019,"1,523.70"
17/04/2019,"1,529.60"
16/04/2019,"1,544.40"
15/04/2019,"1,545.60"
12/4/2019,"1,551.60"
11/4/2019,"1,538.70"
10/4/2019,"1,530.90"
9/4/2019,"1,525.30"
8/4/2019,"1,531.30"
5/4/2019,"1,517.00"
4/4/2019,"1,537.50"
3/4/2019,"1,561.50"
2/4/2019,"1,550.70"
1/4/2019,"1,555.60"
29/03/2019,"1,567.00"
28/03/2019,"1,575.50"
27/03/2019,"1,575.20"
26/03/2019,"1,575.60"
25/03/2019,"1,562.40"
22/03/2019,"1,557.20"
21/03/2019,"1,547.50"
20/03/2019,"1,552.60"
19/03/2019,"1,547.00"
18/03/2019,"1,547.60"
15/03/2019,"1,544.00"
14/03/2019,"1,534.00"
13/03/2019,"1,532.80"
12/3/2019,"1,532.40"
11/3/2019,"1,531.00"
8/3/2019,"1,533.60"
7/3/2019,"1,532.80"
6/3/2019,"1,523.00"
5/3/2019,"1,512.10"
4/3/2019,"1,503.80"
1/3/2019,"1,509.40"
28/02/2019,"1,477.90"
27/02/2019,"1,477.70"
26/02/2019,"1,486.10"
25/02/2019,"1,497.10"
22/02/2019,"1,503.30"
21/02/2019,"1,479.40"
20/02/2019,"1,486.10"
19/02/2019,"1,508.90"
18/02/2019,"1,509.10"
15/02/2019,"1,500.70"
14/02/2019,"1,486.80"
13/02/2019,"1,486.70"
12/2/2019,"1,506.20"
11/2/2019,"1,508.40"
8/2/2019,"1,509.00"
7/2/2019,"1,496.00"
6/2/2019,"1,486.10"
5/2/2019,"1,478.00"
4/2/2019,"1,465.40"
1/2/2019,"1,454.60"
31/01/2019,"1,460.10"
30/01/2019,"1,483.10"
29/01/2019,"1,480.80"
25/01/2019,"1,466.50"
24/01/2019,"1,437.50"
23/01/2019,"1,440.80"
22/01/2019,"1,438.10"
21/01/2019,"1,434.50"
18/01/2019,"1,434.50"
17/01/2019,"1,434.10"
16/01/2019,"1,435.80"
15/01/2019,"1,435.60"
14/01/2019,"1,425.70"
11/1/2019,"1,427.20"
10/1/2019,"1,414.00"
9/1/2019,"1,395.60"
8/1/2019,"1,375.70"
7/1/2019,"1,370.50"
4/1/2019,"1,376.10"
3/1/2019,"1,371.70"
2/1/2019,"1,361.90"
31/12/2018,"1,375.30"
28/12/2018,"1,412.60"
27/12/2018,"1,420.00"
24/12/2018,"1,408.60"
21/12/2018,"1,411.70"
20/12/2018,"1,435.20"
19/12/2018,"1,419.90"
18/12/2018,"1,414.40"
17/12/2018,"1,432.00"
14/12/2018,"1,419.20"
13/12/2018,"1,418.80"
12/12/2018,"1,444.50"
11/12/2018,"1,421.70"
10/12/2018,"1,416.40"
7/12/2018,"1,441.10"
6/12/2018,"1,421.00"
5/12/2018,"1,386.70"
4/12/2018,"1,397.90"
3/12/2018,"1,400.00"
30/11/2018,"1,376.80"
29/11/2018,"1,417.00"
28/11/2018,"1,420.60"
27/11/2018,"1,414.30"
26/11/2018,"1,414.90"
23/11/2018,"1,404.80"
22/11/2018,"1,393.00"
21/11/2018,"1,382.90"
20/11/2018,"1,372.80"
19/11/2018,"1,374.50"
16/11/2018,"1,371.80"
15/11/2018,"1,384.60"
14/11/2018,"1,386.70"
13/11/2018,"1,403.40"
12/11/2018,"1,401.80"
9/11/2018,"1,394.10"
8/11/2018,"1,386.30"
7/11/2018,"1,376.00"
6/11/2018,"1,363.40"
5/11/2018,"1,340.50"
2/11/2018,"1,350.90"
1/11/2018,"1,360.90"
31/10/2018,"1,382.90"
30/10/2018,"1,392.90"
29/10/2018,"1,383.70"
26/10/2018,"1,374.90"
25/10/2018,"1,377.20"
24/10/2018,"1,393.10"
23/10/2018,"1,386.00"
22/10/2018,"1,394.20"
19/10/2018,"1,390.80"
18/10/2018,"1,390.40"
17/10/2018,"1,379.00"
16/10/2018,"1,350.30"
15/10/2018,"1,351.10"
12/10/2018,"1,364.70"
11/10/2018,"1,382.10"
10/10/2018,"1,398.70"
9/10/2018,"1,402.50"
8/10/2018,"1,398.00"
5/10/2018,"1,401.10"
4/10/2018,"1,402.90"
3/10/2018,"1,408.20"
2/10/2018,"1,408.50"
1/10/2018,"1,418.90"
28/09/2018,"1,427.40"
27/09/2018,"1,435.30"
26/09/2018,"1,436.60"
25/09/2018,"1,434.80"
24/09/2018,"1,441.10"
21/09/2018,"1,431.00"
20/09/2018,"1,437.70"
19/09/2018,"1,459.90"
18/09/2018,"1,475.70"
17/09/2018,"1,467.80"
14/09/2018,"1,462.80"
13/09/2018,"1,460.00"
12/9/2018,"1,456.50"
11/9/2018,"1,456.80"
10/9/2018,"1,445.50"
7/9/2018,"1,454.60"
6/9/2018,"1,453.60"
5/9/2018,"1,458.90"
4/9/2018,"1,458.30"
3/9/2018,"1,455.10"
31/08/2018,"1,453.50"
30/08/2018,"1,462.30"
29/08/2018,"1,460.40"
28/08/2018,"1,452.80"
27/08/2018,"1,443.90"
24/08/2018,"1,434.80"
23/08/2018,"1,433.90"
22/08/2018,"1,454.80"
21/08/2018,"1,454.80"
20/08/2018,"1,473.80"
17/08/2018,"1,467.90"
16/08/2018,"1,447.70"
15/08/2018,"1,448.30"
14/08/2018,"1,443.00"
13/08/2018,"1,441.10"
10/8/2018,"1,446.70"
9/8/2018,"1,457.50"
8/8/2018,"1,450.50"
7/8/2018,"1,450.10"
6/8/2018,"1,447.40"
3/8/2018,"1,430.60"
2/8/2018,"1,422.70"
1/8/2018,"1,430.00"
31/07/2018,"1,422.50"
30/07/2018,"1,420.40"
27/07/2018,"1,421.70"
26/07/2018,"1,412.70"
25/07/2018,"1,412.60"
24/07/2018,"1,410.90"
23/07/2018,"1,413.20"
20/07/2018,"1,430.40"
19/07/2018,"1,421.80"
18/07/2018,"1,427.40"
17/07/2018,"1,425.00"
16/07/2018,"1,428.80"
13/07/2018,"1,439.30"
12/7/2018,"1,437.30"
11/7/2018,"1,418.50"
10/7/2018,"1,426.00"
9/7/2018,"1,431.30"
6/7/2018,"1,433.20"
5/7/2018,"1,423.80"
4/7/2018,"1,420.90"
3/7/2018,"1,423.10"
2/7/2018,"1,415.80"
29/06/2018,"1,409.40"
28/06/2018,"1,411.90"
27/06/2018,"1,425.90"
26/06/2018,"1,433.40"
25/06/2018,"1,431.60"
22/06/2018,"1,439.10"
21/06/2018,"1,440.00"
